Provinsi;2021;2022
ACEH;-;-
SUMATERA UTARA;8745.02;8980.41
SUMATERA BARAT;827.58;835.32
RIAU;36.73;36.73
JAMBI;3.94;3.66
SUMATERA SELATAN;-;-
BENGKULU;192.65;210.58
LAMPUNG;1751.04;1757.81
KEP. BANGKA BELITUNG;149.49;144.61
KEP. RIAU;-;-
DKI JAKARTA;3163.36;3268.89
JAWA BARAT;290472.23;300198.28
JAWA TENGAH;104421.95;103547.2
DI YOGYAKARTA;3867.2;3884.88
JAWA TIMUR;530426.49;543687.16
BANTEN;75.32;68.63
BALI;-;-
NUSA TENGGARA BARAT;-;-
NUSA TENGGARA TIMUR;39.22;43.02
KALIMANTAN BARAT;-;-
KALIMANTAN TENGAH;-;-
KALIMANTAN SELATAN;111.77;132.09
KALIMANTAN TIMUR;83.88;86.09
KALIMANTAN UTARA;-;-
SULAWESI UTARA;-;-
SULAWESI TENGAH;-;-
SULAWESI SELATAN;1942.4;1993.2
SULAWESI TENGGARA;77.9;101.61
GORONTALO;-;-
SULAWESI BARAT;-;-
MALUKU;-;-
MALUKU UTARA;-;-
PAPUA BARAT;-;-
PAPUA;-;-
INDONESIA;946388.17;968980.14
